Ro Client Name,MASTER_CLIENT_NAME,MASTER_CLIENT_CODE
Excise and Taxation,"COMMISSIONER,EXCISE & TAXATION, [PANCHKULA]",77264
Shri Vishwakarma Skill University,DEPUTY REG SHRI VISHWAKARMA SKILL UNIVERSITY PALWA,1658
Multi Department,MULTI DEPARTMENT ADVT. HARYANA GOVT.,MU145
Haryana Public Service Commission,SECRETARY HARYANA PUBLIC SERVICE COMMISSION [PANCHKULA] [HRY.],27405
Agriculture & Farmers Welfare,"DIRECTOR AGRICULTURE KRISHI BHAWAN/21,[PANCHKULA]",107274
"Information, Public Relations and Languages","D.P.R. ,[HARYANA]",25576
HSIIDC,GENERAL MANAGER HSIIDC SEC 6 PANCHKULA,GE145
HSVP,CHIEF ADMINISTRATOR HSVP PANCHKULA,CH1078
Haryana Staff Selection Commission,"SECRETARY HARYANA STAFF SELECTION COMISSION, [PANCHKULA] [HRY.]",26072
Chaudhri Devilal Universtiy Sirsa,CHAUDHARY DEVI LAL UNIVERSITY SIRSA,CH1135
HSAMB,"CHIEF ADMINISTRATOR HSAMB,[PANCHKULA]",76606
Chaudhary Bansi Lal University,"CHAUDHRY BANSI LAL UNIVERSITY,[BHIWANI] ,BHIWANI",147927
Haryana State Rural Livelihoods Mission,"HARYANA STATE RURAL LIVELIHOOD MISSION ,PANCHKULA",157793
Industries& Commerce,DIR INDUSTRIES & COMMERCE CHANDIGARH,DI780
Guru Jambheshwar University Hisar,"GURU JAMBHESHWAR  UNIVERSITY, HISAR",17105
Labour,"COMMISSIONER LABOUR DEPARTMENT,[CHANDIGARH]",72548
Department of Renewable Energy,"DIRECTOR RENEWABLE DEVELOPMENT AGENCY,HAREDA,[CHANDIGARH ]",106288
Lala Lajpat Rai University of Veterinary and Animal,LALA LAJPAT RAI UNIVERSITY OF VATERINARY AND ANIMA [HISAR],87028
Tourism Development Corp.,"M.D.,TOURISM DEVELOPMENT CORPORATION HARYANA, [CHANDIGARH]",31465
Golf Club,"GENERAL MANAGER GOLF CLUB,[PANCHKULA]",126381
Maharishi Dayanand University Rohtak,MAHARISHI DAYANAND UNIVERSITY ROHTAK,MA3629
Haryana Mass Rapid Transport Corp. Ltd.,HARYANA MASS RAPID TRANSPORT CORPORATION LTD CHD,HA1005
Transport Commissioner,"DIRECTOR GENERAL TRANSPORT COMMISSIONER,STATE TRANSPORT,HARYANA[CHANDIGARH]",97769
Arts & Cultural Affairs,"INCHARGE ARTS & CULTURAL AFFAIRS [HARYANA] ,CHANDIGARH",214108
Social Justice & Empowerment,SOCIAL JUSTICE & EMPOWERMENT PANCHKULA,SO96
Market Committee,SEC CUM EXE OFFICER MARKET COMMITTEE RADAUR YAMUNA,621
"Department of Housing For All, Haryana",DEPARTMENT OF HOUSING FOR ALL HRY PANCHKULA,DE2041
Haryana Sarasvati Heritage Development Board,"HARYANA SARASVATI HERITAGE DEVELOPMENT BOARD ,PANCHKULA",193962
Urban Local Bodies,"DIRECTOR URBAN LOCAL BODIES,[CHANDIGARH]",128924
Haryana State Board of Technical Education,HARYANA STATE BOARD OF TECHNICAL EDU. PANCHKULA,HA842
National Health Mission,"MISSION DIRECTOR NATIONAL HEALTH MISSION PANCHKULA ,PANCHKULA",211891
Urban Development,"COMMISSIONER MUNICIPAL CORPORATION URBAN DEVELOPMENT ,ROHTAK ",171220
Sports & Youth Affairs,"DIRECTOR SPORTS & YOUTH  WELFARE, [PANCHKULA] ,-",79657
Board of School Edu.,"SECRETARY, HARYANA BOARD OF SCHOOL EDUCATION, [BHIWANI [HRY.]",24987
Animal Husbandry and Dairying,DIR ANIMAL HUSBANDRY AND DAIRYING PANCHKULA,DI1161
Health,"DIRECTOR MEDICAL EDUCATION & RESEARCH HARYANA ,PANCHKULA",169672
Forests,"CHIEF CONSERVATOR OF FORESTS DEPTT.,[PANCHKULA]",83709
Revenue and Disaster Management,"FINANCIAL COMMISSIONER AND PRINCIPAL SECRETARY REVENUE AND DISASTER MAGT., [CHANDIGARH]",27956
Real Estate Regulatory Authority,"REAL ESTATE REGULATORY AUTHORITY ,PANCHKULA",222410
Haryana State Horticulture Development Agency,HARYANA STATE HORTICULTURE DEVELOPMENT AGENCY,HA979
Women & Child Development,"DIRECTOR WOMEN AND CHILD DEVELOPMENT PANCHKULA ,PANCHKULA",176165
Dairy Dev. Coop. Fed. Ltd.,"OFFICER DAIRY DEV. COOP. FED. LTD. BALLABHGARH,[FARIDABAD]",137437
Haryana State Legal Services Authority,"HARYANA STATE LEGAL SERVICES AUTHORITY, CHANDIGARH",5476
Deen Bandhu Chhotu Ram University,"DEEN BANDHU CHOTU RAM UNIVERSITY OF SCI. and TECH., MURTHAL",145261
Kurukshetra University kurukshetra,"KURUKSHETRA UNIVERSITY KURUKSHETRA, [KURUKSHETRA]",58560
Pollution Control Board,"POLLUTION CONTROL BOARD, [PANCHKULA]",62803
Industrial Training,ASSISTANT DIR. SKILL DEV.& INDUSTRIAL HRY PANCHKUL,AS624
Fed. Of Coop. Sugar Mills Ltd.,MANAGING DIR FED. OF COOP. SUGAR MILLS LTD PALWAL,3593
Commissions,"SECRETARY, ELECTRICITY REGULATORY COMMISSION [PANCHKULA]",91925
Haryana State Blood Transfusion Council,STATE BLOOD TRANSFUSION COUNCIL PANCHKULA,ST909
Technical Education,"DIRECTOR TECHNICAL EDUCATION PANCHKULA, [HARYANA]",25565
Housing Board,SECRETARY HOUSINGH BOARD PANCHKULA,SE458
Haryana Aids Control Soiety,HARYANA STATE AIDS CONTROL SOCIETY [PANCHKULA],100487
Shri Mata Mansa Devi Shrine Board,"CHIEF EXECUTIVE OFFICER SHRI MATA MANSA DEVI SHIRINE BOARD,[PANCHKULA]",32358
HPGCL,"PUBLIC RELATION OFFICER, HPGCL,PANCHKULA, [PANCHKULA]",31548
Haryana State Technical Education Society,"HARYANA STATE TECHNICAL EDUCATION SOCIETY ,PANCHKULA",165846
Horticulture,"DIRECTOR HORTICULTURE DEPTT. PANCHKULA,[HARYANA]",73327
Haryana Pariwar Pehchan Authority,CHIEF ACCOUNTS OFFICER HARYANA PARIWAR PEHCHAN AUT,CH2069
Science & Technology,"DIRECTOR, COUNCIL FOR SCIENCE & TECHNOLOGY, [PANCHKULA] [HARYANA]",28604
Haryana Kaushal Rozgar Nigam Limited,HARYANA KAUSHAL ROZGAR NIGAM LIMITED PANCHKULA,HA1226
Coop. Apex Bank Ltd.,GM THE PANIPAT CENTRAL CO OPERATIVE BANK LTD PANIP,GM53
District Rural Development Agency,CHIEF EXECUTIVE OFFICER DRDA KARNAL,CH1663
School Shiksha Pariyojna Parisad and Rashtriya,"SCHOOL SHIKSHA PARIYOJNA PARISAD & RASHTRIYA MADHYAMIC SHIKSHA A ,PANCHKULA",192301
Dr. Ambedkar National Law University,DR. B.R. AMBEDKAR NATIONAL LAW UNIVERSITY SONIPAT,DR627
UHBVN,"UTTAR HARYANA BIJLI VITRAN NIGAM LTD ,PANCHKULA",187732
Administrator General & Offical Truster Treasures and,"ADMINISTRATOR GENERAL & OFFICAL TRUSTER TREASURES AND CHARITABLE ENDOM ,CHANDIGARH",200825
CONFED,DISTRICT MANAGER CONFED HISAR,DI1646
Maharsi Valmiki Sanskrit University,REGISTRAR MAHARSI VALMIKI SANSKRIT UNIV. KAITHAL,RE133
Indian Red Cross Society,INDIAN RED CROSS SOCEITY SIRSA,IN1107
HAFED,"DISTRICT OFFICE HAFED,[FATEHABAD] ,[FATEHABAD]",142324
Haryana State Biodiversity Board,HARYANA STATE BIODIVERSITY BOARD PANCHKULA,1314
Board of Ayurvedic & Unani Systems,DISTRICT AYURVEDIC OFFICER KAITHAL,1344
"Motilal Nehru School of sports, Rai, Sonepat","PRINCIPAL DIRECTOR MOTILAL NEHRU SCHOOL OF SPORTS,RAI ,[SONIPAT]",46412
MICADA,ADMINISTRATOR BAYS 39-40/4 MICADA PANCHKULA,AD971
HlRDC,MANAGING DIRECTOR HIRDC PANCHKULA,MA5119
Haryana Water Resources Authority,HARYANA WATER RESOURCES AUTHORITY PANCHKULA,1080
PBD Sharma PGI,"DIRECTOR, PANDIT B.D. SHARMA POST GRADUATE INSTITUTE OF MEDICAL SCIENCES, [ROHTAK]",26572
Quality Assurance Authority,QUALITY ASSURANCE AUTHORITY PANCHKULA,QU66
SUPVA,"DEPUTY REGISTRAR,TECHNICAL EDUCATION,SUPVA ,ROHTAK",227830
CCS Haryana Agricultural University,CCS HARYANA AGRICULTURE UNIVERSITY HISAR,CC5
Forests Dev. Corpn. Ltd. (HFDC),GENERAL MANAGER HRY FOREST DEV. CORP. KURUSHETRA,GE120
Haryana Labour Welfare Board,"HARYANA LABOUR  WELFARE BOARD [PANCHKULA] ,PANCHKULA",189746
Live StockDev. Board,"HARYANA LIVESTOCK DEVELOPMENT BOARD ,HISAR",173477
Panchkula Metropolitan Development Authority,"PANCHKULA METROPOLITION DEV. AUTHORITY,PANCHKULA",PA2438
Coop.Dev. Fed. Ltd.,MANAGING DIR. COOP. FED. LTD PANCHKULA,MA1911
Kuk. Dev. Board,"CHIEF EXECUTIVE OFFICER KUK. DEV. BOARD,[KURUKSHETRA]",110920
Sports University of Haryana,"REGI. SPORTS UNIVERSITY OF HARYANA, RAI, SONIPAT",RE588
Morni Mahila Block Sangthan,MORNI MAHILA BLOCK SANGTHAN MORNI,MO1560
Hartron,HARTRON INSTITUTE [CHANDIGARH],107906
Renewable Energy Department,"DIRECTOR RENEWABLE ENERGY DEVELOPMENT AGENCY,[CHANDIGARH]",28043
Agro Industries Corp.,"MANAGING DIRECTOR HARYANA AGRO INDUSTRIES CORPORATION,[PANCHKULA",118716
Seeds Dev. Corpn. Ltd.,"MANAGING DIRECTOR SEEDS DEV. CORP.LTD,[PANCHKULA] ,PANCHKULA",39589
State TB Cell Haryana,"STATE TB OFFICER,DIRECTOR GENERAL HEALTH SERVICES HARYANA ,PANCHKULA",171967
Sanskrit Akademi,"SANSKRIT AKADEMI, PANCHKULA",SA2773
Environment,"DIRECTOR ENVIRONMENT DEPARTMENT, [CHANDIGARH]",88364
GMDA,"GURGAON METROPOLITIAN DEVELOPMENT AUTHORITY ,GURGAON",223175
Chief Electoral,"CHIEF ELECTORAL OFFICER, HARYANA [CHANDIGARH] ,CHANDIGARH",100412
Citizen Resources Information Dept.,CITIZEN RESOURCES INFORMATION DEP. PANCHKULA,CI108
Police Housing Corn. Ltd.,"POLICE HOUSING CORPORATION LTD.,[PANCHKULA]",63883
Mewat Dev. Board,"CHIEF EXEUTIVE OFFICER,DRDA,MEWAT AT NUH",CH147
District Admin.,CHIEF EXECUTIVE OFFICE NEW SECRETARIAT PANCHKULA,CH2357
Sainik Samman Samiti,"SAINIK SAMMAN SAMITI ,PANCHKULA",212945
Maharana Partap Horticultural University,MAHARANA PARTAP HORTICULTURE UNIVERSITY,MA136
Haryana International Horticulture Marketing Corp.,HARYANA INTERNATIONAL HORTICULTURAL MARKETING CORP,HA1237
