AGENCY_NAME,RO_CLIENT_NAME,CLIENT_CODE,CLIENT_NAME,RO_NUMBER,PACKAGE_NAME,BOOKING_CENTER,CATEGORY,KEY_NUMBER,POSITIONING,PAGE_PREMIUM,Agency_code_subcode,RO_REMARKS,INSERT_DATE,RO_DATE,AD_CAT,PRODUCT,BRAND,Executive,AGENCY_CODE,RO_CLIENT_CODE,AD_SUBCAT,AD_HEIGHT,AD_WIDTH,AD_SIZE,COLOUR,RO_RATE,RO_AMOUNT,FILE_NAME
"SOCIETY FOR ADVANCED MANAGEMENT OF COMMUNICATION AND VALUE ADDED DISSEMINATION OF INFORMATION, Chandigarh",Excise and Taxation,77264,"COMMISSIONER,EXCISE & TAXATION, [PANCHKULA]",1037/13/3/2024/23823/1/4,AU-CHA,NA1,Display,1037/13/3/2024/23823,Any Page,YES,SA1462SAM213,DISPLAY ADVT,02-01-2024,31/12/2023,GO2,DISPLAY-MISC,None,None,None,None,GOVT. DISPLAY,1,400.0,400.0,C,35.55,19908.0,23823-4_20240101192147.pdf
"SOCIETY FOR ADVANCED MANAGEMENT OF COMMUNICATION AND VALUE ADDED DISSEMINATION OF INFORMATION, Delhi",Excise and Taxation,77264,"COMMISSIONER,EXCISE & TAXATION, [PANCHKULA]",1037/13/3/2024/23823/1/7,AU-NWD,NA1,Display,1037/13/3/2024/23823,Any Page,YES,SA1462SAM213,DISPLAY ADVT,02-01-2024,31/12/2023,GO2,DISPLAY-MISC,None,None,None,None,GOVT. DISPLAY,1,400.0,400.0,C,53.5,29960.0,23823-7_20240101192356.pdf
"SOCIETY FOR ADVANCED MANAGEMENT OF COMMUNICATION AND VALUE ADDED DISSEMINATION OF INFORMATION, Chandigarh",Shri Vishwakarma Skill University,1658,DEPUTY REG SHRI VISHWAKARMA SKILL UNIVERSITY PALWA,2208/11/94/2024/23830/C/1/4,AU-CHA,NA1,Recruitment,2208/11/94/2024/23830/C,Any Page,YES,SA1463SAM214,NOTICE,02-01-2024,01/01/2024,GO2,DISPLAY-MISC,None,None,None,None,GOVT. DISPLAY,1,88.0,88.0,B,35.55,3128.4,23830-4_20240101174956.pdf
"SOCIETY FOR ADVANCED MANAGEMENT OF COMMUNICATION AND VALUE ADDED DISSEMINATION OF INFORMATION, Delhi",Shri Vishwakarma Skill University,1658,DEPUTY REG SHRI VISHWAKARMA SKILL UNIVERSITY PALWA,2208/11/94/2024/23830/C/1/7,AU-NWD,NA1,Recruitment,2208/11/94/2024/23830/C,Any Page,YES,SA1463SAM214,NOTICE,02-01-2024,01/01/2024,GO2,DISPLAY-MISC,None,None,None,None,GOVT. DISPLAY,1,88.0,88.0,B,53.5,4708.0,23830-7_20240101175205.pdf
"SOCIETY FOR ADVANCED MANAGEMENT OF COMMUNICATION AND VALUE ADDED DISSEMINATION OF INFORMATION, Chandigarh",Multi Department,MU145,MULTI DEPARTMENT ADVT. HARYANA GOVT.,13/2024/40/23833/I/1/4,AU-CHA,NA1,Tender,13/2024/40/23833/I,Any Page,YES,SA1463SAM214,INDICATIVE ADVT.,02-01-2024,01/01/2024,GO2,DISPLAY-MISC,None,None,None,None,GOVT.TENDER,1,40.0,40.0,B,35.55,1422.0,23833-4_20240101175435.pdf
"SOCIETY FOR ADVANCED MANAGEMENT OF COMMUNICATION AND VALUE ADDED DISSEMINATION OF INFORMATION, Delhi",Multi Department,MU145,MULTI DEPARTMENT ADVT. HARYANA GOVT.,13/2024/40/23833/I/1/7,AU-NWD,NA1,Tender,13/2024/40/23833/I,Any Page,YES,SA1463SAM214,INDICATIVE ADVT.,02-01-2024,01/01/2024,GO2,DISPLAY-MISC,None,None,None,None,GOVT.TENDER,1,40.0,40.0,B,53.5,2140.0,23833-7_20240101175726.pdf
"SOCIETY FOR ADVANCED MANAGEMENT OF COMMUNICATION AND VALUE ADDED DISSEMINATION OF INFORMATION, Rohtak",Multi Department,MU145,MULTI DEPARTMENT ADVT. HARYANA GOVT.,13/2024/40/23834/I/1/6,AU-RTK,CH0,Tender,13/2024/40/23834/I,Any Page,YES,SA1463SAM214,INDICATIVE ADVT.,02-01-2024,01/01/2024,GO2,DISPLAY-MISC,None,None,None,None,GOVT.TENDER,1,40.0,40.0,B,25.85,1034.0,23834-6_20240101180430.pdf
"SOCIETY FOR ADVANCED MANAGEMENT OF COMMUNICATION AND VALUE ADDED DISSEMINATION OF INFORMATION, Chandigarh",Multi Department,MU145,MULTI DEPARTMENT ADVT. HARYANA GOVT.,13/2024/40/23837/I/1/4,AU-CHA,NA1,Tender,13/2024/40/23837/I,Any Page,YES,SA1463SAM214,INDICATIVE ADVT.,02-01-2024,01/01/2024,GO2,DISPLAY-MISC,None,None,None,None,GOVT.TENDER,1,40.0,40.0,B,35.55,1422.0,23837-4_20240101180552.pdf
"SOCIETY FOR ADVANCED MANAGEMENT OF COMMUNICATION AND VALUE ADDED DISSEMINATION OF INFORMATION, Karnal",Multi Department,MU145,MULTI DEPARTMENT ADVT. HARYANA GOVT.,13/2024/40/23837/I/1/6,AU-KNL,CH0,Tender,13/2024/40/23837/I,Any Page,YES,SA1463SAM214,INDICATIVE ADVT.,02-01-2024,01/01/2024,GO2,DISPLAY-MISC,None,None,None,None,GOVT.TENDER,1,40.0,40.0,B,25.85,1034.0,23837-6_20240101180652.pdf
"SOCIETY FOR ADVANCED MANAGEMENT OF COMMUNICATION AND VALUE ADDED DISSEMINATION OF INFORMATION, Chandigarh",Haryana Public Service Commission,27405,SECRETARY HARYANA PUBLIC SERVICE COMMISSION [PANCHKULA] [HRY.],1156/13/230/2024/23843/1/4,AU-CHA,NA1,Display,1156/13/230/2024/23843,Any Page,YES,SA1462SAM213,NOTICE,02-01-2024,01/01/2024,GO2,DISPLAY-MISC,None,None,None,None,GOVT. DISPLAY,1,144.0,144.0,B,35.55,5119.2,23843-4_20240101181207.pdf
